Trans Ref,0 - MERCHANT,1 - MERCHANT THIRD PARTY,2 -CREDO,3 - CREDO THIRD PARTY,4 - PROCESSOR,5 - STAMP DUTY,Settled Amount,Fee Amount,Fee Diff,Expected Credo commision
i77700ye6z02213282u6,8170,6780,198.39,106,124.11,50,15000,322.5,106,92.39
sKp000691k02V2Cn82nB,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
Onxk00bsu902lQuo82SS,26850,38100,197.5,106,125,50,65000,322.5,106,91.5
LK4K00uPkz00pWT112tj,14950,,375,245,125,50,15000,500,245,130
mRPC00ZFu9027sF862fA,77950,,700,460,,50,78000,700,460,240
PNk300qVqr029lDg62S9,77950,,700,460,,50,78000,700,460,240
u1Pk00xuVA02761i82fY,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
QkY400PqZD02aS3082m0,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
PFNJ00QfQJ02PuDy825y,14950,,322.5,70,,50,15000,322.5,70,252.5
s2pK00Tvxy023Plc82U4,,2000,303.69,70,18.81,,2000,322.5,70,233.69
NMi200pjnM02L58x82j1,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
h3AP00FLRw0065Gz123c,14950,,375,245,125,50,15000,500,245,130
x65f00ZB8l02npaH62TX,55950,,575,460,125,50,56000,700,460,115
ST4M00HGQw01jggg82oY,3000,,500,275,,,3000,500,275,225
BtZX00HMIY02x5nq82d2,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
N11r00mNur016Vv982QT,3000,,500,275,,,3000,500,275,225
WsBF007g0w02G3Y482Vi,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
Ni6a00ghf802oQZs82wJ,,2000,197.5,70,125,,2000,322.5,70,127.5
SOaH009e4402330T823g,14950,,322.5,70,,50,15000,322.5,70,252.5
d7GX00Q0PM01OMvK829T,3000,,471.65,275,28.35,,3000,500,275,196.65
C3C900fLQR023W8882dz,,19950,197.5,70,125,50,20000,322.5,70,127.5
RF3900uKjP02a1y582ub,108570,72380,197.5,106,125,50,181000,322.5,106,91.5
Vv5d00zlPC01OxPW822l,3000,,500,275,,,3000,500,275,225
NdxU00GRbH02X7Lo820y,64470,42980,197.5,106,125,50,107500,322.5,106,91.5
tmOM007xiN02JuJv82Dz,64470,42980,197.5,106,125,50,107500,322.5,106,91.5
q12700cF1p02LMlD8273,70470,46980,197.5,106,125,50,117500,322.5,106,91.5
NtyD00yaoj02w2F582Jx,,14950,198.39,106,124.11,50,15000,322.5,106,92.39
HdnA00aMEk02J3ZF820a,14950,,322.5,70,,50,15000,322.5,70,252.5
HlR300ft1j02nEW6829N,13250,84700,322.5,70,,50,98000,322.5,70,252.5
LCZX00BJZn026UpI82Kk,,29950,322.5,106,,50,30000,322.5,106,216.5
tquM00af2g022M59822b,14950,,322.5,70,,50,15000,322.5,70,252.5
l0Nw00h4V502wb3182OC,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
H57d00Y1Uf02Eiu182pn,,29950,197.5,106,125,50,30000,322.5,106,91.5
vL9E00RH6F02oseG82ac,35250,22450,322.5,70,,50,57750,322.5,70,252.5
LnqJ00ym6v02hO1J82da,14950,,322.5,70,,50,15000,322.5,70,252.5
u3M600PLXR027W9Q82Q3,,2000,303.69,70,18.81,,2000,322.5,70,233.69
oYjd00S5cF02SNXd82zJ,14950,,322.5,70,,50,15000,322.5,70,252.5
H5Qr0044zV02JUBQ820V,70470,46980,322.5,106,,50,117500,322.5,106,216.5
P78l004jze000dT328KO,13950,,300,45,,50,14000,300,45,255
hlTc00AyaJ01Qscg823W,105450,,375,275,125,50,105500,500,275,100
Fov400Dxh802nh5H821U,14950,,322.5,70,,50,15000,322.5,70,252.5
T1Sv00P94501Fvvo82e6,113450,,500,275,,50,113500,500,275,225
N6DA00w1FD005dBw28Cj,1500,,300,45,,,1500,300,45,255
Y7QL0074Z502miga82uG,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
Vm1b006y1T02gkq882Sc,,99950,197.5,70,125,50,100000,322.5,70,127.5
EHZo00bms600e9aK28tK,1500,,300,45,,,1500,300,45,255
vw6H00SX2H01v0J982m7,105450,,375,275,125,50,105500,500,275,100
POLY008VLR0257zv82gv,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
ksj400Q34y02c1dp82tD,,34950,197.5,70,125,50,35000,322.5,70,127.5
Zw6y005k9t02x7o48295,,19950,197.5,70,125,50,20000,322.5,70,127.5
li7a00qz25001ZTS28Yg,13950,,300,45,,50,14000,300,45,255
kmRI00dMdG01IiEy827V,3000,,471.65,275,28.35,,3000,500,275,196.65
XjI2004Ldq02DThQ82a4,14950,,322.5,70,,50,15000,322.5,70,252.5
Meet00r85m02Oz3q82w0,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
T6gP00U30m027Aur82Qr,96570,64380,197.5,106,125,50,161000,322.5,106,91.5
mA4H00qTM9027UZX62FL,77950,,575,460,125,50,78000,700,460,115
jdms00NEYJ12Ewm866Yn,41950,,550,1750,,50,42000,2200,100,450
MCZB00Qc58011GOG82l1,55950,,500,275,,50,56000,500,275,225
ArkF00ysCw00b2eu28bl,1500,,300,45,,,1500,300,45,255
OV09005xZN003q1s28q8,9600,,300,45,,,9600,300,45,255
WoiJ005L2w02oXdd82y9,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
LhaX00ZLqn0242zj8231,45300,49150,197.5,106,125,50,94500,322.5,106,91.5
brUD00LO8400JmF528J6,13950,,300,45,,50,14000,300,45,255
DLj700PqMl12y2qB66xH,7000,,97.41,392.24,60.35,,7000,450,100,-2.59
Dd1w00Bq7I01G6NP82Uf,113450,,375,275,125,50,113500,500,275,100
OuXa00KLn902m5uL82N7,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
UMrx00yOP800baDL28hH,19950,,300,45,,50,20000,300,45,255
HG16002ikl024C9l82IQ,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
o0ro00lf96020xYV82Nm,46500,76450,197.5,106,125,50,123000,322.5,106,91.5
KAV400FYFi01h86n821t,113450,,375,275,125,50,113500,500,275,100
moLa00fzlL02Z1NW82EZ,96570,64380,197.5,106,125,50,161000,322.5,106,91.5
lC3a00dC1002cAHK8201,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
DWj6000vw00246Dq82uJ,,19950,197.5,70,125,50,20000,322.5,70,127.5
jLjw002fhn0256mJ62Lx,29950,,700,460,,50,30000,700,460,240
pray00m1kv01QDeX825k,57450,,500,275,,50,57500,500,275,225
aPHM00l1im02Yk7182gI,14950,,322.5,70,,50,15000,322.5,70,252.5
F34200r9eA02uC6f82JU,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
I9nQ0000zS01BQip82LM,243450,,375,275,125,50,243500,500,275,100
IB1k003WO902iH4l82uO,14950,,322.5,70,,50,15000,322.5,70,252.5
sYrO00wMEz02d0Fw82e7,14950,,197.5,70,125,50,15000,322.5,70,127.5
voGV006gvh01MujE82p9,3000,,471.65,275,28.35,,3000,500,275,196.65
Ffa300915402rVo482vB,13250,84700,197.5,70,125,50,98000,322.5,70,127.5
UGg600Dn6901FdX771Pv,21650,,300,160,,50,21700,300,160,140
Dw0p008bUn00Aj0K1213,14950,,375,245,125,50,15000,500,245,130
lg4g00o46Y02Rpcw620h,77950,,575,460,125,50,78000,700,460,115
H6B80001Rh02q45F82Zx,14950,,322.5,70,,50,15000,322.5,70,252.5
v47G008ueW02CoC062NI,77950,,700,460,,50,78000,700,460,240
ywG500T2we06c630539G,12750,,700,460,,50,12800,700,460,240
loJg0072lH01E7Jh71Ae,3100,,300,160,,,3100,300,160,140
XR2000HJwK02U49C827k,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
H7yT00iM85027r6a82ST,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
dWo200bVDs025q5s8258,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
zcgb00cVi401E6JF718k,21650,,175,160,125,50,21700,300,160,15
FvL600UoQ002zqtY820i,14950,,322.5,70,,50,15000,322.5,70,252.5
dQ2300Q1WU026bCa8292,,2000,303.69,70,18.81,,2000,322.5,70,233.69
N1Yi00j7BA02i4DF82Lv,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
Ppbj00C6la02eBB882nz,,2000,303.69,70,18.81,,2000,322.5,70,233.69
O8er00K1r302m2Vv82M5,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
O4Wf00femC028TfN62Hg,77950,,700,460,,50,78000,700,460,240
wf8P00Oem501Mla582Zb,3000,,500,275,,,3000,500,275,225
SJtb00jvkt02MRTk8207,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
H9hs00mvmG02Z1Xt82Fv,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
