Trans Ref,0 - MERCHANT,1 - MERCHANT THIRD PARTY,2 -CREDO,3 - CREDO THIRD PARTY,4 - PROCESSOR,5 - STAMP DUTY,Settled Amount,Fee Amount,Fee Diff,Expected Credo commision
b29t00eTI202O6nE82HP,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
HGvz00PYwz02sQRE82l3,,2000,303.69,70,18.81,,2000,322.5,70,233.69
NXje00B3k402N0jj82lU,,99950,322.5,70,,50,100000,322.5,70,252.5
Hbwg00zRLS018gr582x7,187450,,500,275,,50,187500,500,275,225
gWPP00jPe201td8982tj,105450,,500,275,,50,105500,500,275,225
A1fG003y1602R6tA826A,,19950,197.5,106,125,50,20000,322.5,106,91.5
iiWZ001xks02DkCX82HJ,,19950,197.5,70,125,50,20000,322.5,70,127.5
rn830091p701s99A82Vn,55950,,375,275,125,50,56000,500,275,100
T60R007ffe02M8ex82H5,26850,38100,197.5,106,125,50,65000,322.5,106,91.5
aPSf00FvhT004Y5K28d0,1500,,300,45,,,1500,300,45,255
RV7B00fplV02N3MJ82l0,58470,38980,322.5,106,,50,97500,322.5,106,216.5
FvMr00nZ5S01J9CX71LW,21650,,300,160,,50,21700,300,160,140
cM5f00U4fH00Lb1a12o0,14950,,375,245,125,50,15000,500,245,130
Y6z200Z92602AlXX82f8,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
Y86A00l9D402VGqy62eV,68950,,575,460,125,50,69000,700,460,115
zrNg00bIs902FpbS82cR,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
ZU8J00xZ96014j9I71HK,3100,,300,160,,,3100,300,160,140
RIDk00bo7w02842i62tX,77950,,700,460,,50,78000,700,460,240
iQlg00xZM502W5HV82Lu,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
KW8S00Ooa012WBMD66nk,15950,,225,775,,50,16000,900,100,125
Km2j007Bpd02MOG3824J,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
I9Dt00t0z002oxyO6261,107950,,700,460,,50,108000,700,460,240
aU9k001Z9302GiK782HB,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
Q51X00at0q02FB9R82ge,72570,48380,322.5,106,,50,121000,322.5,106,216.5
PVr200XaB2027Cc862ft,77950,,575,460,125,50,78000,700,460,115
EwaY00HKPy02FvEO825o,248170,25280,322.5,106,,50,273500,322.5,106,216.5
JeP700u5LA023UfM82im,77470,75980,322.5,106,,50,153500,322.5,106,216.5
GWCf00EFMo06Z8C675eQ,20150,,375,200,125,50,20200,500,200,175
g1Ii00iUek023xmF820h,14950,,197.5,70,125,50,15000,322.5,70,127.5
QXMd000f0v02tyl082n4,13250,84700,197.5,70,125,50,98000,322.5,70,127.5
Y4Xs00OWzC028q9X824V,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
uy1300yuL612u4SV66Tr,249950,,3150,9550,,50,250000,12600,100,3050
D6Rf00qQ5606w9Mg75s2,25150,,375,200,125,50,25200,500,200,175
LN8100ca2604EK9O512c,9950,,,318.66,83.84,50,10000,350,52.5,-52.5
NB2n002Uve02ZVXO824l,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
uK1000h0A102y4d2626I,149950,,700,460,,50,150000,700,460,240
g3E8006P9I0179ha8268,243450,,375,275,125,50,243500,500,275,100
ZbFx0050sO02WpGz82Df,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
GbBH00U8zK02ROVb8203,14950,,322.5,70,,50,15000,322.5,70,252.5
DX9N00gKdI025p8U825J,,74950,322.5,70,,50,75000,322.5,70,252.5
nymR00XFuE02w9i4825K,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
TQ3P003X9K02PC4o82l1,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
aSeK004aHn0208yQ8244,,14950,198.39,106,124.11,50,15000,322.5,106,92.39
J8QK003U0M02h0I1826w,,61950,197.5,106,125,50,62000,322.5,106,91.5
dIOO007tvE02LqH982M6,14950,,322.5,70,,50,15000,322.5,70,252.5
hY9E00RTDk02H26182DH,,29950,322.5,106,,50,30000,322.5,106,216.5
BQO300N2bl02SwiW82B2,,36948,197.5,70,125,50,36998,322.5,70,127.5
clsQ00T1nB02sULw82pd,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
DFda003rI10223e282FE,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
Tgcc00uW2002TcD5825Z,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
pRan00S8xl02nQ47825M,29970,19980,322.5,106,,50,50000,322.5,106,216.5
n4Jx00qB6Q02xNhb82Bk,,49950,197.5,70,125,50,50000,322.5,70,127.5
WTrF00G6Cj049yUj51LD,105950,,,402.5,,50,106000,350,52.5,-52.5
LKnB00xM4S02etZm82Y0,14950,,322.5,70,,50,15000,322.5,70,252.5
euhV00QJ7l12SgqO66qg,249950,,2850,8650,1200,50,250000,12600,100,2750
Q3kO00QplD02p1fp828v,77470,75980,322.5,106,,50,153500,322.5,106,216.5
vgvt00yV1H02NY0182VS,14950,,322.5,70,,50,15000,322.5,70,252.5
HQVU00GQ1y02cVkE82LR,,19950,322.5,106,,50,20000,322.5,106,216.5
uVF000QQ9b020C5082XB,96570,64380,197.5,106,125,50,161000,322.5,106,91.5
alYY00J0wD02hTEW828l,,29950,322.5,106,,50,30000,322.5,106,216.5
m3Q700siC80222Wi82k6,,14950,198.39,70,124.11,50,15000,322.5,70,128.39
yiI000t8DN01DOMn74TM,7000,,500,275,,,7000,500,275,225
VY5X00he2302F49P82o3,,29950,197.5,106,125,50,30000,322.5,106,91.5
BjGb0036RL04VAZq51T5,53450,,,402.5,,50,53500,350,52.5,-52.5
SR0s00MtTR02R3Bt82el,,14950,322.5,106,,50,15000,322.5,106,216.5
Bg3000ArPw01nrat820Y,113450,,375,275,125,50,113500,500,275,100
XVGz003oLP02UInR821e,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
AMn300aa5U02fHij820R,14950,,322.5,70,,50,15000,322.5,70,252.5
hgKa00xF3102bfpp77xm,31950,,300,45,,50,32000,300,45,255
GmlE00iPFy00bOBV1254,14950,,375,245,125,50,15000,500,245,130
b3uk00zxMY02dyar82qN,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
ChSB0095uj02l5aW82Gi,8970,5980,322.5,106,,50,15000,322.5,106,216.5
LATo00U5tW02v6T982T1,24370,95580,197.5,106,125,50,120000,322.5,106,91.5
iXSS000cvw02YrcD77ow,39650,,300,45,,50,39700,300,45,255
tSI600IymD06Ucnf537O,12750,,575,460,125,50,12800,700,460,115
VwFq008Qd901bK6971t2,21650,,300,160,,50,21700,300,160,140
Vwwy007yM202mFE577d7,42650,,300,45,,50,42700,300,45,255
Kz6W00P8F702P2CK823n,,19950,197.5,70,125,50,20000,322.5,70,127.5
RC2100LDyZ02pi20821q,24370,115580,322.5,106,,50,140000,322.5,106,216.5
K442000I1O0267LP77Uw,19650,,300,45,,50,19700,300,45,255
e5X200P6if01U3aW82K0,105450,,375,275,125,50,105500,500,275,100
VyxD00v10M02W3oW77H8,32150,,300,45,,50,32200,300,45,255
CKc300S4Hl0133Ic8271,51950,,500,275,,50,52000,500,275,225
KTVm00SR0t12Vd4O6669,249950,,2850,8650,1200,50,250000,12600,100,2750
lshP00xwHO01Ku2D8266,29950,,500,275,,50,30000,500,275,225
UZn000kal902WRZ482WC,,36950,197.5,70,125,50,37000,322.5,70,127.5
PIjk00O60T04zG6J51Vv,84950,,,402.5,,50,85000,350,52.5,-52.5
sp30001HdR0278rb82Ui,13250,84700,197.5,70,125,50,98000,322.5,70,127.5
uDFj006nKv01H6y682a1,55950,,375,275,125,50,56000,500,275,100
Pp6R00AGP402936y82Vh,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
u9i000sY4w02H6up82aQ,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
h6so006JOB02ENg482fn,,14950,198.39,106,124.11,50,15000,322.5,106,92.39
NtWM00Xf2M010Q9I82IH,3000,,471.65,275,28.35,,3000,500,275,196.65
mA7l00e2w602nxW382mD,14950,,322.5,70,,50,15000,322.5,70,252.5
r50M0049wg02YNB482i3,,2000,322.5,70,,,2000,322.5,70,252.5
UvK500WcL102v5788208,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
xs2v009HOM02vGi082Tr,,5000,279.39,106,43.11,,5000,322.5,106,173.39
CyTf00K0Ts020kwl82OG,8970,5980,198.39,106,124.11,50,15000,322.5,106,92.39
d2Ux00r2Rr02Gu6J77J3,41650,,300,45,,50,41700,300,45,255
F54p001M4202Z1E277d7,71950,,300,45,,50,72000,300,45,255
EcoS00Swl9003KRJ12K0,14950,,375,245,125,50,15000,500,245,130
K8cY00e1F801P1H782SK,149950,,500,275,,50,150000,500,275,225
ZW1l00y2Xi02W4M277zg,31650,,300,45,,50,31700,300,45,255
ZMez00pPMs02BeDA822d,24370,115580,197.5,106,125,50,140000,322.5,106,91.5
j8NV002K8M02dvqH8287,14950,,322.5,70,,50,15000,322.5,70,252.5
TmJz004N7302Ct7f77NG,46050,,300,45,,50,46100,300,45,255
RrON00771202K6m462A3,52950,,700,460,,50,53000,700,460,240
sGL700tbW9025I7382BV,6090,4060,322.5,106,,50,10200,322.5,106,216.5
Ts7c00QYmb02lhBl62xQ,74950,,700,460,,50,75000,700,460,240
aMRf00T16Q04eYV65125,135450,,,402.5,,50,135500,350,52.5,-52.5
J5Fn00c6w3023ONJ62YN,29950,,575,460,125,50,30000,700,460,115
e4k900MBID02e2Nr82nZ,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
jt5400TqV302it6M77oR,44950,,300,45,,50,45000,300,45,255
Q5aq0025bP02W1xu82FL,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
Sj0A00LVS502i1rE62F6,77950,,575,460,125,50,78000,700,460,115
Ri2f00zDhx00m4Pp12qV,15950,,375,245,125,50,16000,500,245,130
f897003YUg02Ta5O823o,14950,,322.5,70,,50,15000,322.5,70,252.5
Ibf7002Rty01TFZw71E8,21650,,300,160,,50,21700,300,160,140
v1hb00uwe602Pnpf82Xc,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
oF8N00jT6D02xGxe82KN,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
CNfO004rk402boGh82cU,14950,,322.5,70,,50,15000,322.5,70,252.5
wB9g00Xapu01l2lB71cW,3100,,272.46,160,27.54,,3100,300,160,112.46
wgwF00i4hW02Cu8662vf,55950,,575,460,125,50,56000,700,460,115
Be9700nf47024I4v82II,,20950,197.5,106,125,50,21000,322.5,106,91.5
k6FG0085c402uSXX6253,19950,,700,460,,50,20000,700,460,240
T9p300YLv112kYBP6688,249950,,3150,9550,,50,250000,12600,100,3050
c24400HYR302SUZA82w7,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
gP6E005TJf00iK8K12VL,59950,,375,245,125,50,60000,500,245,130
oOzX00LAEB002gT212vB,14950,,375,245,125,50,15000,500,245,130
gmml00IIEn003jXY12Pa,14950,,375,245,125,50,15000,500,245,130
aZI600LMga02KlmE623P,92450,,700,460,,50,92500,700,460,240
HZ1300afys029pRH8280,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
f3Wi00h8ss0289tK829z,14950,,322.5,70,,50,15000,322.5,70,252.5
JJ1400Vg91024aCR827O,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
jWzx00yn7F02nGwO82F8,56850,38100,197.5,106,125,50,95000,322.5,106,91.5
LXTo00Buxl02yS4u82V7,14950,,198.39,70,124.11,50,15000,322.5,70,128.39
TY2300COQ100XA6r272B,2500,,30,,,,2500,30,0,30
