role_id,permission_id,status,authorized,created_by,created_date,last_modified_by,last_modified_date,version
288,127,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
288,128,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
288,129,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
288,130,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
288,131,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
288,132,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
289,121,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
289,122,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
289,131,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
289,132,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
289,133,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
289,134,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
289,144,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
289,145,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
289,146,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
289,147,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
290,136,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
290,137,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
290,138,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
290,139,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
290,140,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
290,141,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
291,121,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
291,122,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
291,127,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
291,128,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
291,131,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
291,132,1,0,system.auto,2025-11-26 12:47:13,system.auto,2025-11-26 12:47:13,0
